price,title,link
"R$,118,R$,11,,,47",PEÓRA,"<a href=""https://www.mercadolivre.com.br/presente-colar-feminino-prata-925-esposa-namorada-noiva-amor-cor-colar-coraco-gtz/p/MLB36689438?pdp_filters=category:MLB1431#searchVariation=MLB36689438&amp;position=3&amp;search_layout=grid&amp;type=product&amp;tracking_id=6fdb3d76-e64f-4af5-a387-c16fef0d26a0"" class=""ui-search-item__group__element ui-search-link__title-card ui-search-link"" title=""Presente Colar Feminino Prata 925 Esposa Namorada Noiva Amor Cor Colar Coração Gtz""><h2 aria-level=""3"" class=""ui-search-item__title"">Presente Colar Feminino Prata 925 Esposa Namorada Noiva Amor Cor Colar Coração Gtz</h2></a>"
"R$,87,,,91,12% OFF,R$,29,,,30",FLAVIA XAVIER JÓIAS,"<a href=""https://www.mercadolivre.com.br/colar-com-foto-pingente-relicario-coraco-banhado-a-ouro-18k-cor-dourado/p/MLB29525334?pdp_filters=category:MLB1431#searchVariation=MLB29525334&amp;position=8&amp;search_layout=grid&amp;type=product&amp;tracking_id=6fdb3d76-e64f-4af5-a387-c16fef0d26a0"" class=""ui-search-item__group__element ui-search-link__title-card ui-search-link"" title=""Colar Com Foto Pingente Relicário Coração Banhado A Ouro 18k Cor Dourado""><h2 aria-level=""3"" class=""ui-search-item__title"">Colar Com Foto Pingente Relicário Coração Banhado A Ouro 18k Cor Dourado</h2></a>"
"R$,47,,,31,5% OFF,R$,15,,,77",AQUAMARINE JÓIAS,"<a href=""https://www.mercadolivre.com.br/pulseira-prata-925-de-lei-macica-5mm-3x1-masculina-legitima-comprimento-21-cm/p/MLB27503333?pdp_filters=category:MLB1431#searchVariation=MLB27503333&amp;position=4&amp;search_layout=grid&amp;type=product&amp;tracking_id=6fdb3d76-e64f-4af5-a387-c16fef0d26a0"" class=""ui-search-item__group__element ui-search-link__title-card ui-search-link"" title=""Pulseira Prata 925 De Lei Maciça 5mm 3x1 Masculina Legítima Comprimento 21 cm""><h2 aria-level=""3"" class=""ui-search-item__title"">Pulseira Prata 925 De Lei Maciça 5mm 3x1 Masculina Legítima Comprimento 21 cm</h2></a>"
"R$,33,,,90,R$,11,,,30",CHRIS CONTRERAS JOIAS,"<a href=""https://www.mercadolivre.com.br/gargantilha-ponto-de-luz-no-fio-de-nylon-e-pingente-zircnia-cor-dourado/p/MLB29413695?pdp_filters=category:MLB1431#searchVariation=MLB29413695&amp;position=2&amp;search_layout=grid&amp;type=product&amp;tracking_id=6fdb3d76-e64f-4af5-a387-c16fef0d26a0"" class=""ui-search-item__group__element ui-search-link__title-card ui-search-link"" title=""Gargantilha Ponto De Luz No Fio De Nylon E Pingente Zircônia Cor Dourado""><h2 aria-level=""3"" class=""ui-search-item__title"">Gargantilha Ponto De Luz No Fio De Nylon E Pingente Zircônia Cor Dourado</h2></a>"
"R$,27,,,35,R$,2,,,65",TROPICAL JÓIAS,"<a href=""https://www.mercadolivre.com.br/brinco-prata-925-argola-masculino-cravejado-zircnia-banhado-cor-prateado/p/MLB29454553?pdp_filters=category:MLB1431#searchVariation=MLB29454553&amp;position=18&amp;search_layout=grid&amp;type=product&amp;tracking_id=6fdb3d76-e64f-4af5-a387-c16fef0d26a0"" class=""ui-search-item__group__element ui-search-link__title-card ui-search-link"" title=""Brinco Prata 925 Argola Masculino Cravejado Zircônia Banhado Cor Prateado""><h2 aria-level=""3"" class=""ui-search-item__title"">Brinco Prata 925 Argola Masculino Cravejado Zircônia Banhado Cor Prateado</h2></a>"
"R$,113,,,05,5% OFF,R$,37,,,68",AQUA JÓIAS,"<a href=""https://www.mercadolivre.com.br/pulseira-de-prata-italiana-925-5mm-grossa-super-acabamento-comprimento-21-cm-dimetro-5-cm/p/MLB35249772?pdp_filters=category:MLB1431#searchVariation=MLB35249772&amp;position=23&amp;search_layout=grid&amp;type=product&amp;tracking_id=6fdb3d76-e64f-4af5-a387-c16fef0d26a0"" class=""ui-search-item__group__element ui-search-link__title-card ui-search-link"" title=""Pulseira De Prata Italiana 925 5mm Grossa Super Acabamento Comprimento 21 Cm Diâmetro 5 Cm""><h2 aria-level=""3"" class=""ui-search-item__title"">Pulseira De Prata Italiana 925 5mm Grossa Super Acabamento Comprimento 21 Cm Diâmetro 5 Cm</h2></a>"
"R$,114,,,16,20% OFF,R$,11,,,10",PEÓRA,"<a href=""https://www.mercadolivre.com.br/presente-colar-feminino-prata-925-esposa-namorada-noiva-amor-cor-colar-infinito-liso/p/MLB36935484?pdp_filters=category:MLB1431#searchVariation=MLB36935484&amp;position=19&amp;search_layout=grid&amp;type=product&amp;tracking_id=6fdb3d76-e64f-4af5-a387-c16fef0d26a0"" class=""ui-search-item__group__element ui-search-link__title-card ui-search-link"" title=""Presente Colar Feminino Prata 925 Esposa Namorada Noiva Amor Cor Colar Infinito Liso""><h2 aria-level=""3"" class=""ui-search-item__title"">Presente Colar Feminino Prata 925 Esposa Namorada Noiva Amor Cor Colar Infinito Liso</h2></a>"
"R$,185,,,25,5% OFF,R$,30,,,88",AQUA JÓIAS,"<a href=""https://www.mercadolivre.com.br/brinco-ouro-18k-750-argola-coracao-adulto-infantil-12cm-cor-amarelo/p/MLB27609686?pdp_filters=category:MLB1431#searchVariation=MLB27609686&amp;position=1&amp;search_layout=grid&amp;type=product&amp;tracking_id=6fdb3d76-e64f-4af5-a387-c16fef0d26a0"" class=""ui-search-item__group__element ui-search-link__title-card ui-search-link"" title=""Brinco Ouro 18k 750 Argola Coracao Adulto-infantil 1.2cm Cor Amarelo""><h2 aria-level=""3"" class=""ui-search-item__title"">Brinco Ouro 18k 750 Argola Coracao Adulto-infantil 1.2cm Cor Amarelo</h2></a>"
"R$,119,,,37,17% OFF,R$,39,,,79",DINIS JOIAS,"<a href=""https://www.mercadolivre.com.br/corrente-feminina-pingente-terco-rosario-folheado-a-ouro-18k-cor-dourado/p/MLB29432806?pdp_filters=category:MLB1431#searchVariation=MLB29432806&amp;position=10&amp;search_layout=grid&amp;type=product&amp;tracking_id=6fdb3d76-e64f-4af5-a387-c16fef0d26a0"" class=""ui-search-item__group__element ui-search-link__title-card ui-search-link"" title=""Corrente Feminina Pingente Terço Rosário Folheado A Ouro 18k Cor Dourado""><h2 aria-level=""3"" class=""ui-search-item__title"">Corrente Feminina Pingente Terço Rosário Folheado A Ouro 18k Cor Dourado</h2></a>"
"R$,33,,,15,5% OFF,R$,11,,,05",MIX JOIAS,"<a href=""https://www.mercadolivre.com.br/colar-feminino-aco-inoxidavel-lua-sol-presente-aniversario-cor-prateado/p/MLB36485791?pdp_filters=category:MLB1431#searchVariation=MLB36485791&amp;position=15&amp;search_layout=grid&amp;type=product&amp;tracking_id=6fdb3d76-e64f-4af5-a387-c16fef0d26a0"" class=""ui-search-item__group__element ui-search-link__title-card ui-search-link"" title=""Colar Feminino Aço Inoxidável Lua Sol Presente Aniversario Cor Prateado""><h2 aria-level=""3"" class=""ui-search-item__title"">Colar Feminino Aço Inoxidável Lua Sol Presente Aniversario Cor Prateado</h2></a>"
